property_id,property_name,past_uses,property_highlights,city
144444,Hampshire Street Properties,NA,"Property consists of 8 multifamily apartment buildings located at 42 Hampshire Street, 100 Federal Street, 96 Federal Street, 169 Newbury Street, 167 Newbury Street, 32 Hampshire Street, 160 Newbury Street, and 24 Hampshire Street that are all slated to be redeveloped as mixed use with predominantly affordable housing.

Former Use: Site has been used primarily as multifamily residential since pre-1886.",Portland
145462,American Tissue - Parcel 2,NA,NA,Augusta
145527,Riverwalk Parcel,NA,"Property part of a former textile mill complex. Mills are being redeveloped for residential and commercial use. This property is owned by the city of Biddeford and is likely to be incorporated into greenspace/riverwalk.

Former Use: Vacant pacel along the Saco River that was historically part of a textile mill complex (West Point Stevens Mill). The property may have been used for storage of material, including transformers.",Biddeford
145561,Carl's Quick Stop,"Commercial
, Residential
","Property historically used as gas station and automotive repair shop and is currently abandonned.

Former Use: Property along Main Street historically used as automobile repair shop and gas station and later a gas station, convenient store, and appartment. Business shut down in 2007",Vassalboro
145741,Alan Day Community Garden,"Commercial
","Active community garden; Brownfields focus came from concern about prior filling history as site was developed for community use.

Former Use: The approximately 3-acre Site was established in 2009 as a community garden in memory of Alan Day (1954-2008), a community activist and artist. Future plans for the Site include planting and growing herbs and fruit trees. The Site was developed ca. 1886 for the storage of lumber and finished dowels by C.B. Cummings, Inc., a local dowel manufacturer. In the 1950s, fill generated during the excavation of foundations for a new mill building was reportedly brought to the Site by C.B. Cummings, Inc. from its nearby dowel mill. In 2002, C.B. Cummings, Inc. sold the Site to a developer who brought in additional fill as part of a proposed subdivision. During hand digging at the Site in 2009, community garden staff observed metal, brick, wood, and leather scraps, indicative of prior on-Site filling activities. An automotive repair facility abutted the Site to the east from as early as the 1940s to at least the 1960s. No additional information regarding the facility was identified, and the apparent location is now a vacant lot. A private automotive repair and restoration garage, Plum Potter Automotive, has been operated east of the Site since approximately 2003. The Site is presently occupied by vegetable gardens and a historic barn used primarily for storage of supplies and tools. Piles of mulch and soil used for gardening, and stone, wood and gravel placed by a former Site owner were observed in the vicinity of the barn. Municipal water and sewer are available in the Site vicinity, but the Site is not connected.",Norway
145761,Norway Opera House,"Commercial
","Former Use: The Site includes approximately 0.3 acres of land along Main Street in Norway Village, and has been owned by the Town of Norway since 2010. The Site consists of an unoccupied, historic three-story brick opera house building constructed in 1894. The first floor of the main building includes multiple spaces for retail and other commercial use which were occupied from the time of the building’s construction until the mid- to late-2000s. Recognized environmental conditions identified during the Phase I included (1) evidence of urban fill, potentially from historic building fires; (2) unknown condition of an inaccessible above ground fuel oil storage tank; and (3) operation of at least two automotive repair facilities and filling stations on nearby lots from as early as 1924 to at least 1962. GEI also identified potential past use and storage of elemental mercury in the building basement.",Norway
145762,Cousens Memorial School,NA,"The Site is a historical elementary school that is currently vacant, with a baseball field, basketball court, and several smaller outbuildings. With the growth of the area, the school was vacated by the town when a new school was built and the building has been left to disrepair. The Community Library group has purchased the property to clean it up and adaptively rehabilitate the building for a combination of a community center, municipal office, child daycare center, and/or commercial tenant space, and to upgrade the grounds to support the final redevelopment.

Former Use: The approximately 6.2-acre Site is owned by the Town of Lyman and includes Lot 122 on Map 11 from the Town of Lyman Assessor’s Office. The Site includes a former school building with a basement, a baseball field, paved basketball court and smaller outbuildings (e.g., concession stand, dugouts). The school building was constructed in 1937 and an addition was constructed in 1965. The school is a single-story 10,304 square-foot brick building with a partial daylight basement under the original structure. The building is heated by forced hot air furnace fueled by No. 2 heating oil stored in a 1,000 gallon underground storage tank (UST). The school is served by a private water supply well and on-site septic tank and leachfield. A second well provides irrigation for the baseball field. Regional School Union 57 has not used the Cousens Memorial School since about 2007. The most recent use of the school was a community arts program.",Lyman
148681,Continental Mill Station,NA,"Former Use: The Continental Mill complex was constructed in 1866 and operated as a cotton mill manufacturing sheetings and print cloths from 1868 to 1962. The portion of the mill complex now Continental Mill Station, was previously listed as “Wheel House B” and the location of a blacksmith shop, carpentry shop, and former fire hydrants and water lines. More recently the Continental Mill Station has been utilized by Central Maine Power and later FPL as a hydroelectric generating facility. The current Site owner and occupant, FPL Energy Maine Hydro, LLC, purchased the property in January of 1998 and used the facility to house several generating units, circuit breakers, and turbines.",Lewiston
148723,Bates Lower Station,NA,"Former Use: The subject property was the location of several former buildings associated with the Lewiston Mills Complex. Structures formerly at the Site include the Dye House, Store House, Picker House #1, a weaving, cording, and spinning building, and a portion of Mill No.1. The current Station building was first depicted as the Bates Manufacturing Power Co. and housed two 500-hoursepower hydroelectric dynamos and has been used in the generation of hydro-power since 1908.",Lewiston
148724,Red Shop Weir,NA,"Former Use: The Site was initially developed in 1885 and used for window and stair manufacturing. In the early 1900’s, the Site was used as an office for overnight and Sunday watchmen for the surrounding lumber mills. Sometime around 1922, the Site was used for water level regulation in the canal. The Site is currently not in use.",Lewiston
148782,Water Park,NA,"The Site is a mostly vacant parcel of land located along a major thoroughfare in Windham that has been target for redevelopment. The Site was historically a water and go-kart park that went out of business and was demolished.

Former Use: The Site is an approximately 25 acre parcel referenced by the Town of Windham as tax map 12, lots 67, 67-2, 67-3 and is currently owned by John and Vicky Mann. The Site was originally a portion of a farm and was used for agricultural purposes. Records indicate the Site was used as a vehicle maintenance shop in the 1950s to the 1960s. The Site was vacant from the 1960s to the 1980s and subsequently was developed as a recreational water park until the mid-1980s. According to officials at the Town of Windham Town Office, infrastructure related to the water park was dismantled and buried at the Site. From 1987 to present, the land has been used as a residence. A private airfield was located in the northeast corner of the Site and used from approximately 1987 until approximately 2002. The warehouse building at the Site was constructed in approximately 1987 and used as an airplane hangar, a bait shop, and most recently as a storage facility for wood pellet fuel.",Windham
153021,76 Pier Street,NA,Former Use: Former Ice Cream Plant during turn of the century until 1970s. It has been used as a warehouse since that time.,Bangor
153482,Caldwell Property,"Commercial
, Residential
","Former Use: The Site consists of approximately 0.3 acres. The Site is occupied by two buildings: a two-story building has a full basement and was formerly occupied by an automotive service station, car wash, gift shop and second story residence. An adjacent single story building is constructed on a slab and contained a residence. A Sanborn Insurance Map from 1925 shows four gasoline tanks located along the north wall of the garage. The location of gasoline pumps is not shown, but the pumps were reportedly located along the west wall of the garage. Four tanks were identified on the Sanborn map as underground storage tanks (USTs). Research indicated three other USTs located beneath the single story building east of the original two-story garage. A kerosene tank is also reported to have been located north of the garage building. The three gasoline tanks and kerosene tank were reportedly removed between 1980 and 1985. No records were identified on the removal of the USTs on the Site.",Mars Hill
153525,Former CN Brown  Property,"Commercial
","Former Use: The Site includes approximately 0.62 acres of land and has been owned by C.N. Brown since 1992. The Site is occupied by a former gasoline station and automotive service garage that began operations in the 1940s; gasoline was last dispensed in 2008. Petroleum products at the station included gasoline, diesel, and kerosene stored in underground and above ground storage tanks. Waste oil was also formerly stored in an underground tank. Eight underground tanks at the Site were removed in 1989 and no documents were identified on potential evidence of leaks or spills from the tanks. Five above-ground petroleum storage tanks were installed in 1994 and removed in December 2010. No evidence of leaks or spills was observed during removal of the above ground tanks.",Anson
154441,Mills Road Dump Site,"Industrial
",NA,Newcastle
154661,Abbotts Mill,"Industrial
","Former Use: Property was used as a woolen mill until the mid to late 1970's, and has been used as storage since by Guilford Industries/True Textiles since. One of the main mill buildings was removed in approximately 1980. The property includes a dam and pond, which may not be reflected in the property acreage.",Dexter
156921,29 Belmont Ave. (Former Exxon Station),NA,"Former Use: The Site consists of approximately 0.76 acres, located along the northern side of Belmont Avenue (Route 3). The Site is located in a primarily highway-commercial area of Belfast and is currently vacant. The Site is bounded to the east by a small unnamed stream. The Site was originally developed in 1956 as a gasoline filling station and automobile repair facility. The filling station and auto repair facility operated until the Site was vacated in 1998. The former Site building was located on the northwestern portion of the Site, and included two vehicle bays used for automobile repair. The Site was originally developed with one 2,000-gallon, one 3,000-gallon, and one 4,000-gallon underground storage tank (UST) installed in 1956, which were used for the storage of gasoline. The original USTs were replaced in 1984 with three USTs, which were also used for the storage of gasoline. Reportedly, the Site was never used to store or dispense diesel fuel. Waste oil generated during automotive repair activities was reportedly stored in an above ground storage tank (AST). The former filling station ceased operation in 1998, the gasoline USTs were removed in 2002, and the former building was demolished in 2003. MEDEP Spill Numbers A-232-1998 and A-576-2002 were also identified in connection with the Site. Following the assessment work, property ownership was transfered in October 2013 from Eighty One Eutaw, LLC to Kevin Cross of South Portland, Maine. Property likely to be redeveloped as commercial retail in 2014.",Belfast
156962,Parsons Service Center,NA,"The property was formerly a vacant gas station and service garage with known petroleum contamination in downtown Fort Fairfield. Following assessment through EPA Brownfields and environmental liability protection through Maine DEP VRAP, the property was successfully redeveloped as a 24-hour self service gas station with potential office space.

Former Use: The subject property has been operated as a gasoline station since at least the 1940s. The property is currently developed with a 2,024-square foot, single-story building built around 1930 and 12,000-gallon double-walled underground storage tank. Vacant since 2010, the property has been redeveloped by the Mapleton Oil Company as a 24/7 self-service gasoline station with potential office space for their bulk oil operations.",Fort Fairfield
156963,Ashland 1 Stop,NA,"The property is an active gas station and convenience store in downtown Ashland with known petroleum contamination. The property was previously for sale, but the potential buyers backed out due to environmental concerns. Following assessment through EPA Brownfields, the property received environmental liability protection through Maine DEP VRAP and was purchased in 2015.

Former Use: The subject property was historically operated as Jimmo’s Grocery Store from the mid to late 1940s and then Jud’s Cash Market from 1976. The property is currently developed with a 2,440-square foot, 2¼-story building built around 1945, 1,440-square foot Quonset hut, and active 8,000-gallon, double-wall split-compartment underground storage tank. The ground floor of the building is operated as the Ashland 1 Stop retail gas station and convenience store and the second story consists of residential apartments. The Quonset hut was formerly utilized as a laundromat and maintenance garage.",Ashland
156966,Art's Appliance & Furniture,NA,"Former Use: The subject property was historically operated as a furniture store and undertaker (mortician) business since at least 1900 and then residential apartments and warehouse storage since the 1960s. The property is currently developed a 3,100-square foot, two-story building used for storage. Redevelopment plans include demolition of the on-site building and paving the yard for a parking lot for the abutting church.",Ashland
156967,Fort Kent Armory,NA,"The property is situated on a the University of Maine at Fort Kent campus. The property is developed with a 17,000-square foot concrete block building formerly used as an armory and 4,000-square foot cold storage building.

Former Use: The subject property was historically utilized as an armory for the Maine Army National Guard since the 1960s. The indoor firing range inside the armory was inspected in 1984 and closed in 1985 due to unsafe or unhealthful working conditions. The IFR was cleaned and mitigated for lead contamination in 1995 and lead contaminated sand and gravel was encapsulated in 1996. Surface wipes identified lead contamination above reoccupation standards inside the IFR in 2010. The University of Maine System purchased the property in October 2012 and redeveloped the armory as new biomass boiler plant for the University of Maine at Fort Kent following Brownfields assessment and cleanup in 2013.",Fort Kent
157001,Belfast Boatyard (39-41 Front Street),NA,"Former Use: The Site includes a gravel driveway and two buildings: the Shop Office and the Spar Shed. The Shop Office is currently used as the operating office of Belfast Boatyard and contains maintenance tools, supplies, and equipment. The Spar Shed building is used for boat maintenance and the storage of boat masts. Waste oil generated by boat maintenance activities is stored in several aboveground storage tanks (ASTs) located in the Spar Shed and is utilized as fuel by a waste oil burner unit located in the Spar Shed building. Municipal sewer and water utilities are available at the Site. Based on available information, the Site has been utilized as a waterfront wharf, since at least 1855. Historic uses include the storage of coal, grain, guano, flour, hay, fertilizer, and livestock feed. The existing Site buildings were constructed in the 1980s and 1990s and the Site has been utilized as a boatyard to the present date. The proposed reuse scenario for the Site is to remain a boatyard with similar commercial boat storage, maintenance, and repair operations.",Belfast
157021,Belfast Boatyard (38 Waterville Rd.),NA,"Former Use: The Site consists approximately 23.92 acres, located along the southwestern side of Waterville Road (Route 137). The Site is located in a primarily rural residential area of Belfast. The Site is currently utilized as a boat storage and maintenance facility. The Site appears to have existed as unimproved land prior to 1988, and was reportedly used for timber harvesting prior to development by Belfast Boatyard. The property owner suggested that a saw mill may have historically existed at the Site; however, no physical or historical evidence of structures was identified in connection with the Site, prior to development by Belfast Boatyard. The Site is currently improved with several buildings, referred to herein, as the Maintenance Shop and boat Storage Structures Nos. 1 through 6. Current boat maintenance activities conducted at the Site involve the use, storage, and disposal of hazardous substances including various paints, solvents, and engine fluids. The majority of the boat maintenance activities reportedly takes place in the Maintenance Shop building.",Belfast
157022,Mill Dam,NA,"Former Use: The Site encompasses approximately 2.0 acres, located at the northeastern corner of the intersection of Swan Lake Avenue (Route 141) and Mill Lane. The Site is currently improved with three buildings (the “Site Buildings”), which are described as the Office building, Turbine House, and Storage building. The Office Building is primarily utilized for office/storage purposes. The basement of the Office Building is utilized as a maintenance shop and storage facility for the dam. The Turbine House contains one turbine and generator that were formerly utilized for hydroelectric power generation and the Storage building is currently utilized for miscellaneous storage purposes. The Site was originally developed circa 1850 as the G.F. White & Company Paper Mill. The Site was utilized as the Sherman & Company Leather board Factory (Middle Mill) from circa 1888 to circa 1976. Mill Dam was constructed circa 1850 and utilized for hydroelectric power generation for the mill/factory until a majority of former Site buildings were destroyed by a fire that occurred at the Site in 1976. The Site was then utilized solely for hydroelectric power generation until 2005 and has served as the office location of Goose River Hydro Inc. to the present date. One 12,000-gallon No. 6 fuel oil underground storage tank (UST) is located to the southwest of the Office Building and has reportedly not been utilized at the Site since the 1970s. This UST was formerly utilized to store No. 6 fuel oil for the former Sherman & Company Leather Board factory buildings at the Site.",Belfast
157024,Mason Dam,NA,"Former Use: The encompassess approximately 3.1 acreas and was originally developed circa 1895 as the Upper Mill of the Sherman & Company Leather board Factory. Mason Dam was constructed at that time and utilized for hydroelectric power generation for the factory until a majority of former Site buildings were destroyed by a fire that occurred at the Site in 1944. The Site was then utilized solely for hydroelectric power generation until 2009 and has remained vacant to the present date. The Site is currently improved with one building (the “Turbine House”), which contains two turbines and generators that were formerly utilized for hydroelectric power generation. The Site is also improved with a crushed gravel driveway/parking area, a dug-channel tail race, and a snowmobile/ATV trail and wooden bridge. Remaining portions of the Site consist of undeveloped wooded land and/or overgrown vegetated land. The Site is currently serviced with electricity and municipal water is available to the Site.",Belfast
157026,Whiting's Axe Factory,NA,"Low-level concentrations of two petroleum-related volatile organic compounds (VOCs), specifically, toluene and total xylenes, were detected in the groundwater sample collected at the Site at concentrations below drinking water standards. Arsenic, cadmium, chromium, and lead were also detected in soil and/or groundwater samples collected throughout the Site; however, these metals were detected at concentrations that appear to be representative of naturally occurring conditions. Additional environmental investigation and/or remedial activities are not warranted at this time.

Former Use: The Site encompasses approximatley 0.86 acreas and is not improved with buildings. The Site currently consists of undeveloped wooded land and/or overgrown vegetated land, with the exception of a field stone wall, which is constructed along the southern property boundary of the “main parcel” of the Site. Whiting’s Axe Factory (also formerly Robertson’s Sawmill) was reportedly located on the eastern side of Goose River across from the Site from circa 1855 to circa 1965. A field stone dam was reportedly constructed across Goose River along the southern Site boundary and was utilized by the axe factory and sawmill; however, the Site was reportedly never improved with buildings/structures that were utilized by the axe factory or sawmill. The dam was reportedly never utilized for hydroelectric power generation and was breached/destroyed sometime in the 1990s.",Belfast
157041,CMP Dam,NA,"Low levels of arsenic, lead, chromium, and VPH fractions were detected site soils at concentrations below State standards and/or at concentrations representative of background/naturally occurring conditions. A deed restriction (institutional controls) may be necessary for this site.

Former Use: The Site encompasses approximatley 14.63 acreas and was originally developed circa 1850 as the Marshal & Palmer/Belfast Paper Company Paper Mill and then utilized as the Lower Mill of the Sherman & Company Leatherboard Factory from circa 1897 to circa 1921. The dam was reportedly constructed circa 1850 and reconstructed circa 1908. The former leatherboard factory buildings were reportedly demolished at various dates from circa 1921 to the 1970s. CMP utilized the Site for hydroelectric power generation from circa 1921 to circa 1981. The existing Turbine House and Storage Shed were reportedly constructed in 1982 and the Site was utilized by Goose River Hydro, Inc. for hydroelectric power generation until the mid-1990s and has remained vacant to the present date. The Turbine House and Storage Shed are located on the southern portion of the Site. The Turbine House is currently vacant, but was most recently utilized for hydroelectric power generation. The Storage Shed is dilapitated and contains various containers of OHM and miscellaneous wood, plastic, and metal debris/trash. A Garage, used for storage of boats, automobiles, and miscellaneous items, is located on the central-western portion of the Site. Remaining portions of the Site consist of undeveloped wooded land and/or overgrown vegetated land. The Site is currently serviced with electricity and municipal water is available to the Site.",Belfast
157043,Old Waldo County Jail,NA,"Former Use: The Site consists of only the northeastern, approximate 0.35-acre portion of the Waldo County Public Safety Complex, which is improved with the Old Waldo County Jail, former Sheriff’s Office, former Sheriff’s Office Barn, associated driveways/parking areas, and limited landscaping, collectively known as the “Old Waldo County Jail.” The buildings have been vacant and/or have seen limited use, since the new Waldo County Emergency Operations Center was constructed adjacent to the Old Waldo County Jail in 2011. Based on available information, the Site reportedly consisted of undeveloped land, prior to circa 1828. In 1828, the Site was developed with the original Waldo County Jail and Jailer’s House. The original Waldo County Jail building was demolished and the existing Old Waldo County Jail was constructed in its place circa 1850. The Sheriff’s Office and Barn were reportedly constructed at the Site circa 1887, upon demolition of the Jailer’s House building, which was reportedly formerly located within the footprint of the current Sheriff’s Office Barn. The Old Waldo County Jail served as a jailhouse, until the new/existing Waldo County Jail was constructed immediately to the south of the Old Waldo County Jail building in 1976. Since 1976, the Old Waldo County Jail has been utilized for evidence and miscellaneous storage purposes by Waldo County. Until the 1970s/1980s, the Sheriff’s Office was utilized as the Sheriff’s House and Office and the building was solely utilized for office use, until the sheriff’s office relocated to the new Waldo County Emergency Operations Center in 2011. The barn has reportedly been utilized for miscellaneous storage purposes, since its construction.",Belfast
157044,40 Main Street,NA,"Former Use: The Site encompasses approximately 0.15 acres, located at the southwesterly corner of the intersection of Main and Cross Streets in downtown Belfast. The Site is located in the downtown business commercial zone. The Site is currently vacant and is utilized as a park. The southeasterly portion is utilized as a gravel parking area, which is accessed from Pendleton Street. A gravel foot path runs along the southwesterly property boundary, connecting Main Street with Pendleton Street. The Site was originally developed circa 1917, for commercial/retail use. The Site was redeveloped circa 1931 as a gasoline filling station and automobile repair facility. The filling station and auto repair facility operated from circa 1931 until 1980. The facility was utilized for small engine repair from 1980 until 2005, at which time the property was sold, and the Site building was renovated for use as a café/coffee shop. The coffee shop closed in 2007, and the former Site building was demolished in 2008. The Site has reportedly been vacant and utilized as a park, since that time. Three former USTs were historically identified at the Site, including one 2,000-gallon presumed gasoline tank and two 550-gallon presumed petroleum storage tanks. One in-ground hydraulic lift was also reportedly located inside the former building and a second in-ground lift was located just outside the southerly corner of the former building. The USTs were reportedly removed from the Site in 1980; however no documentation of environmental conditions in connection with the tank removals were previously identified. It also does not appear that the former USTs were ever registered with the MEDEP UST program, since the tanks were operated at a time when these records were not stringently kept by the State.",Belfast
159342,Madrid Store & Poacher's Paradise,"Commercial
, Residential
","Former Use: The Site consists of three parcels of land designated as Lots 18, 20, and 22. Lots 20 and 22 are located on the northern side of Route 4, and Lot 18 is located on the southern side of Route 4. Lot 18 was formerly occupied by a barn-like dance hall that is reported to have been constructed in the mid-1900s and removed from the lot in the 1980s. The current ?burger stand? on Lot 18 supported patrons of the dance hall; the construction date of the stand was not reported. The dance hall on Lot 20 is locally known as ?Poacher?s Paradise? and is reported to have been constructed around 1971. The dance hall closed in the 1980s. The building is presently used for storage of furniture, tools, and other materials. Lot 22 is occupied by the former Madrid Store and gas station, an expansive two-story building originally constructed in the late 1800s to early 1900s. Apparent additions are located on the west and east ends of the main building, possibly constructed as a homestead and later converted to a store. The first floor consists of the former store, and the second floor was most recently used as apartment space. Jack Bubier reportedly operated a gasoline station at the Site from 1965 to 1987. Gasoline was dispensed from two underground storage tanks (USTs) reportedly installed before his ownership. The gasoline station was previously operated by Everett Wing; the earliest date of gasoline station operation was not disclosed. The Phase II ESA investigated Lots 20 and 22.",Madrid
159721,St. Anne's Church,NA,"Asbestos containing material has been documented but is not immediately dangerous to human health.

Former Use: The Subject Property has been Sovereign Tribal land for as long as records have been kept and was designated by the Passamaquoddy Tribe in the mid 1700s for use by the Catholic Church. The existing building was constructed in 1928 after the former church building was destroyed in a fire in January 1927. According to Hard Times at Passamaquoddy, 1921-1950, Tribal Life and Times in Maine and New Brunswick, written by Donald Soctomah (2003), the previous building was constructed in 1902. The fire was started from an alter candle. There was no local fire department during this period and the building burned completely to the ground. Land use prior to the mid 1700s is not known.",Perry
160741,5 & 10 Store,NA,"Former Use: Axiom Technologies, a computer and network services firm, has owned the Site since 2012, and occupies the Water Street-level (basement) floor of the building. The Colonial Way-level 1st Floor is separated into two sections. The western section is occupied by the Downeast Coastal Conservancy, and the eastern section is presently unoccupied. The 2nd Floor is presently unoccupied. The building was reportedly constructed in the late 1800s, and typically housed multiple businesses at one time. Past uses included stove making, tin smithing, and wood varnishing in the late 1800s, and automotive sales and service in the early to mid-1900s. From approximately 1934 to the mid-2000s, the basement and first floors were primarily used for storage and retail space, and the 2nd floor was used for a residence. The Site appeared to contain at least two generations of buried gasoline tanks during the period from ca. 1911 to 1949, when the Water Street level of the Site was used for automotive repair and an apparent filling station. A 1,000-gallon capacity underground storage tank (UST) used for the storage of No. 2 fuel oil was reportedly installed near the southwestern section of the Site ca. 1969 and was removed in 1994. No contamination was found during the fuel oil UST removal based on Maine DEP records.",Machias
160782,WHCA Milbridge Office,NA,"Former residence and office building; concerns re/ asbestos and lead managed during building demolition and construction phases.

Former Use: The Site has been owned by the WHCA since 1985. The WHCA used the Site as an office from about 1985 to 2011. Prior to WHCA, the Site was owned by at least two different churches from ca. 1950 to 1985, and prior to 1950, the Site appears to have been owned by several private entities since at least ca. 1892. The Site contains a two-story structure with basement with a paved parking area along Maple Street to the west. The original section of the Site building (toward North Main Street) was constructed in the late 1800s or early 1900s, and an addition was constructed in 1988 along the southern wall of the original building. A small addition along the northern wall of the original building appears to have been constructed at an unknown time. A portion of the Site building (primarily the addition to the south) is currently occupied as office and classroom space by Mano en Mano, a local non-profit advocacy and education group. A section of the original building is also occupied as office space part-time by a representative of the Bangor Vet Center.",Milbridge
160784,Machias Valley Grange Annex,NA,"Lead-based paint and potential hazardous materials and universal waste (e.g., fluorescent light tubes, ballasts, batteries, and paint) identified at the Site should be managed appropriately if disturbed by proposed renovation activities.

Former Use: The Site has been owned by Down East Credit Union since about 2011, and the Beehive Design Collective, a local non-profit community arts group, is currently engaged in a “rent-to-own” agreement with the Site owner. The Site was owned by David Bloomer from ca. 2006 to 2011, and was reportedly operated as a five-unit apartment building. Prior to 2006, the Site appears to have been owned by multiple different parties and operated as apartments for the past 50 to 60 years. The Site building was reportedly constructed in the 1860s as a blacksmith’s residence and workshop to support the nearby boatyards and lumber mills. The Site building contains a basement and three overlying floors divided into five apartments. One of the apartments was occupied at the time of our Site visit, and the other areas of the building were mostly empty or used for storage.",Machias
161361,Donald Small School,NA,"Former Use: The Site was first developed with greenhouses circa 1950. The current Site school building and adjacent former nunnery building were constructed in 1963 and were originally part of St. Mary's School and convent. The school transitioned to a public school (the Donald N. Small School) at an unknown date. The nunnery building was utilized as school administrative offices during the mid 1990s. Currently, the school building is utilized by the Bath Recreation Department for recreational use, storage space, and office space, with a portion of the second floor used by BCTV.",Bath
164402,Wass Factory,NA,"Former cannery converted for seafood processing and freezing.

Former Use: The Site consists of a 1.4-acre parcel (Lot 11, Map H-7) occupied by a former cannery building (the former Wass Factory), and a second 0.4 -acre parcel (Lot 7, Map H-7) presently vacant. The Site is located in a mixed commercial and residential area along the waterfront and near downtown Eastport. The Site is owned by the Wass Factory Trust. Lot 11 was primarily utilized as a commercial sardine factory before the building became vacant by 1961. Lot 7 was historically residential and appears to have been empty since at least 1961. Lot 11 historically included a detached boiler house, coal storage piles, and an apparent gasoline tank as indicated on the Sanborn Maps. The tank was located near the end of the building closest to Madison Street.",Eastport
164403,Guilford Mill,NA,"Former military training facility and textile mill converted to boat manufacturing facility.

Former Use: The Site has been owned by the City of Eastport since 1998, when it was conveyed from Guilford of Maine after the closure of the Guilford woolen mill that had operated at the Site since the 1950s. Prior to the operation of the woolen mill, the Site was used as an indoor training facility (i.e., drill hall) by the U.S. military, which constructed the Site building in the 1940s. Prior to its use by the military, the Site appeared to be mostly undeveloped or used as farmland. The Site building is an approximately 72,000-square-foot slab-on-grade steel-d structure. The eastern section of the building has been occupied by Tex-Shield, a manufacturer of chemically resistant membranes for the U.S. military, since ca. 1999. Other tenants at the time of our Site visit included an automotive detailing and self-storage facility and a plumbing and heating contractor. Other portions of the Site building were reportedly used for storage by the Eastport Port Authority. An approximately 10,000-gallon aboveground storage tank (AST) was reportedly used to store heavy fuel oil (No. 5 or No. 6) until the late 1990s, when the AST was removed.",Eastport
164666,Maine Frozen Foods,NA,"Former Use: The subject property was historically operated as a vegetable freezing and processing plant since the 1940s. The property is currently developed with a 83,600-square foot concrete block industrial building, 32,504-square foot former storage freezer building with a 5,404-square foot loading dock, three smaller buildings (a former screen house, biothane building and boiler room), small security office, two old fryer oil tanks and pump house. Vacant since 2002, the City of Caribou has identified the site for redevelopment.",Caribou
165181,Fiddlehead Garage,NA,The cleanup activities included the removal and disposal of two USTs. One containing gasoline and the other containing waste oil. No soil contamination was detected during the removal action.,Indian Island
165283,County Court House,NA,"Former Use: The Site has been owned by the County of Washington and occupied by the County Court House and County Jail and Sheriff’s Office since about the mid-1800s (ca. 1850s to 1860s). The County Court House contains primarily County offices, judge’s offices, trial/juror rooms, and maintenance areas. The County Jail and Sheriff’s Office contains primarily offices, a kitchen, and holding cells. The buildings are now connected to one another, but prior to at least 1949, the County Court House (to the west) and County Jail and Sheriff’s Office (to the east) were separate buildings on the Site. The Site contains a 10,000-gallon fuel oil underground storage tank (UST) that was reportedly installed in 1986. Two, smaller USTs (2,000 and 3,000 gallon) were reportedly removed in 1986 (reportedly installed ca. 1969).",Machias
167643,Vacant Lot at 8 Lime Street,NA,"Former Use: The Site is currently vacant and mostly undeveloped, with a small dirt parking area/turn-around adjacent to Lime Street. The first documented development of the site was in 1885, when the property was utilized as residential and commercial (a cooper shop). From circa 1900 to 1950, a rail spur was located across the property. In circa 1950, the property became parking for the adjacent Bicknell Manufacturing Company.",Rockland
167661,Former Bicknell Manufacturing Company,NA,"Former Use: The Site is currently operated as a commercial/light industrial rental facility (i.e., small carpentry shops, artists, etc.) with much of the building vacant. The Site was originally developed as residential property circa 1885. The Site has been utilized as a manufacturing facility since approximately 1896. The Site operated as Livingston Granite Tools Manufacturing, which later became Bicknell Manufacturing Company. These companies manufactured tools and machinery that were used for rock cutting until 1991.",Rockland
167901,Redlon & Johnson Distribution Facility,NA,"Former Use: The Site has been occupied by Redlon & Johnson since approximately 1990. The Site historically operated as a junk yard and a poultry slaughtering facility with a railroad spur as far back as the 1930s. The current Site buildings were developed around 1950, and the site operated as a motor freight station from circa 1950 to 1990, at which time Redlon & Johnson began operation at the Site.",Rockland
167902,Beggar's Wharf,NA,"Former Use: The Site was originally improved with four residential dwellings, an ice house, and store beginning in the late-1800s and a marine railway extending into Rockland Harbor. The Site remained mostly residential until the late 1940s when a boat shop with garage was constructed on the eastern parcel (9 Wharf Street) and another boat shop, occupied by the Rockland Boat Shop, was constructed on the western parcel (14 Wharf Street) circa 1956 to service marine equipment. A larger boat shop was then constructed on the eastern parcel (9 Wharf Street) circa 1962 and was destroyed by a fire in 2004. The Site has reportedly been utilized as a marine salvage business and personal storage since the early 2000s.",Rockland
167961,Daniel & Damon Dry Cleaners,NA,NA,Norway
167962,Perley Pond Property,NA,NA,Sebago
169122,Unity Grammar School,NA,"The Project Sites consist of a 1.86-acre parcel with a 3264 sq ft building known as the former Unity Grammar School. the building was constructed in 1898 and served as the only school for the small town of Unity. The building has asbestos, lead paint, lead in soil, and a small AST. Maine Farmland Trust purchased the building and plans to develop the property as a ""food hub"". The food hub will aggregate products from several local farms and sell the produce and products to retail customers and also act as a distribution hub for products, conduct light processing of food related items (e.g. washing). The site improvements consist of foundation structure re-stabilization, interior improvements, soil contamination cleanup/off-site disposal, removal of asbestos from windows and other building materials, and removal of lead paint. The project will also include construction of a driveway and parking area and will maintain historical architectural elements. The grand opening of the new food hub facility was held on October 1, 2015. Former Use: see anecdotal information section",Unity
169221,Shapleigh Estate,NA,NA,Eliot
169981,West Point Stevens,NA,NA,Biddeford
