city,site,name,address,IC,program,status_date,status,n_gdb,n_pdf
GORHAM,REM01038,H-PIT EXPANSION,30 GAMBO ROAD,YES, VRAP ,2002-11-07,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
GORHAM,REM01039,LITTLE FALLS MINI-MART,688 GRAY ROAD (RTE. 202),YES, VRAP ,1999-03-30,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
GORHAM,REM01040,MADJERAC PROPERTY,45 HUTCHERSON DRIVE,NO, VRAP ,1996-02-21,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
GRAY,REM01041,NICHOLS MOTOR,97 SHAKER ROAD,NO, VRAP ,1995-05-01,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
HERMON,REM01043,MAINE MACK INC,150 LITTLEFIELD AVENUE,YES, VRAP ,2001-12-12,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
HOULTON,REM01046,41 BANGOR STREET,41 BANGOR STREET,NO, VRAP ,2016-03-22,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
HOULTON,REM01048,NUTRITE,ROUTE 2A,NO, VRAP ,1999-02-03,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
HOULTON,REM01049,THOMPSON OIL COMPANY,6 BUFFALO STREET,YES, VRAP ,2001-12-19,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
ISLESBORO,REM01050,700 ACRE ISLAND,EMERY LANE,YES, VRAP ,2003-01-27,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
ISLESBORO,REM01051,MDOT SURPLUS PROPERTY,POND ROAD,NO, VRAP ,2002-06-14,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
JACKMAN,REM01052,HALL BULK PLANT,COBURN AVENUE WEST,YES, VRAP ,1999-08-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
JACKMAN,REM01053,JACKMAN SERVICE CENTER,496 MAIN STREET,YES, VRAP ,2002-11-04,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
JACKMAN,REM01054,JACKMAN STATION RAILYARD,MAIN STREET (ROUTE 201),YES, VRAP ,2001-05-03,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
KENNEBUNK,REM01055,MARINER FORD,36 PORTLAND ROAD,YES, VRAP ,2002-01-08,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
KINGFIELD,REM01056,KINGFIELD EXXON,ROUTE 16 & 27,NO, VRAP ,2005-08-08,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
KITTERY,REM01057,BADGERS ISLAND MARINA,27 BADGERS ISLAND WEST,YES, VRAP ,2001-05-23,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
KITTERY,REM01058,BEST AUTOMOTIVE,5 WHIPPLE ROAD,YES, VRAP ,2024-02-02,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
KITTERY,REM01059,DRAGON FLYZ (AKA KITTERY GETTY),240 US ROUTE 1,YES, VRAP ,2002-09-23,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
KITTERY,REM01060,SEAWARD CONSTRUCTION,58 BADGER ISLAND,NO, VRAP ,1994-10-14,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
KITTERY,REM01061,SHEA-NEWSOM,U.S. ROUTE 1,YES, VRAP ,2016-05-05,TRANSFERRED TODIVISION OIL,NA,1
KITTERY,REM01062,SPARKLE SPOT,ROUTE 1,YES, VRAP ,1996-01-11,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
LEWISTON,REM01063,60 LINCOLN STREET,60 LINCOLN STREET,NO, VRAP ,2015-06-16,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
LEWISTON,REM01064,BATES MILL,CANAL STREET,NO, BROWNFIELDS ,2003-12-01,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
LEWISTON,REM01065,BERUBE'S AUTO CARE,147-149 EAST AVENUE,NO, VRAP ,2019-10-04,REMEDIATION STAGE NEED (AWAITING RESOURCES),NA,1
LEWISTON,REM01066,LEW B. GAS,47 RIVERSIDE STREET,YES, VRAP ,2006-11-16,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
LEWISTON,REM01067,MEDICINE SHOPPE,373 SABATTUS STREET,NO, VRAP ,2015-06-16,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
LEWISTON,REM01068,MODERN WOODCRAFTS INC.,55 HOLLAND STREET,YES, VRAP ,2017-08-08,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
LEWISTON,REM01069,SSA,430 SABATTUS STREET,NO, VRAP ,1998-08-17,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
LEWISTON,REM01070,THIBODEAU TRANSMISSION,218 RIVER ROAD,YES, VRAP ,2002-12-09,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
LIBERTY,REM01071,LIBERTY VFD,WEST MAIN STREET,YES, VRAP ,1998-10-30,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
LINCOLN,REM01072,RITE AID LINCOLN,2 WEST BROADWAY,YES, VRAP ,1997-10-09,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
LISBON,REM01073,R.H. FOSTER INC.,195 LISBON ROAD,NO, VRAP ,2003-03-18,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
LONG ISLAND,REM01074,NORTHLAND LOT 8,ISLAND AVENUE,YES, VRAP ,2000-01-12,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
MACHIAS,REM01075,BHEC,SALEM & HARWOOD STRE,YES, VRAP ,2001-07-09,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
MACHIAS,REM01076,RAMSDELLS GARAGE,24 MAIN STREET,YES, VRAP ,2000-11-29,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
MACHIAS,REM01077,RIER MOTORS,DUBLIN STREET & ROQUES,YES, VRAP ,2002-04-03,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
MATTAWAMKEAG,REM01078,CP SIDING,DEPOT STREET,YES, VRAP ,2001-04-05,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
MECHANIC FALLS,REM01079,NEW ENGLAND PUBLIC WAREHOUSE,309 LEWISTON STREET,NO, VRAP ,2003-12-05,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
MILFORD,REM01080,CHRISTY'S #354,14 MAIN STREET,YES, VRAP ,2007-02-01,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
MOUNT DESERT,REM01083,BRANSCOM'S COAL & WOOD,MANCHESTER ROAD,YES, VRAP ,2020-01-13,INVESTIGATION STAGE NEED (AWAITING RESOURCES),NA,1
NEW GLOUCESTER,REM01084,PINELAND CENTER,ROUTE 231,NO, VRAP ,2012-01-09,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
NEWPORT,REM01086,BRADSTREET PROPERTY,RIDGE ROAD,NO, VRAP ,2001-06-13,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
NEWPORT,REM01087,NEWPORT RENTAL,139 MAIN STREET,YES, VRAP ,1997-05-28,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
OAKLAND,REM01088,M-2 HYDRO FACILITY,KENNEDY MEMORIAL DR.,YES, VRAP ,2016-08-18,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
OLD ORCHARD BEACH,REM01089,5 SACO AVENUE,15 SACO AVENUE,NO, VRAP ,1997-01-28,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
OLD ORCHARD BEACH,REM01090,CHRISTY'S #317,219 SACO AVENUE,YES, VRAP ,2016-04-27,TRANSFERRED TODIVISION OIL,NA,1
OTISFIELD,REM01093,CAMP POWHATAN,183 POWHATAN ROAD,YES, VRAP ,1997-08-28,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PEMBROKE,REM01094,PEMBROKE TANK FARM,HERSEY NECK ROAD,YES, VRAP ,1998-03-03,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
PHIPPSBURG,REM01095,BROWN PROPERTY,116 PLEASANT COVE,YES, VRAP ,2020-01-13,INVESTIGATION STAGE NEED (AWAITING RESOURCES),NA,1
PHIPPSBURG,REM01096,WYMAN'S STORE,ROUTE 216,NO, VRAP ,2002-11-13,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PITTSFIELD,REM01097,STARBIRD CONSTRUCTION,SOUTH MAIN STREET,YES, VRAP ,2002-10-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
PITTSFIELD,REM01098,VALLEY GRAPHICS,4 NORTH MAIN STREET,NO, VRAP ,1998-02-09,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
PORTLAND,REM01099,25 CASCO,1 INDIA STREET,YES, VRAP ,2015-07-16,REMEDY IN PLACE: CLOSED NO (OR DE-MINIMIS) CONTAMINATION LEFT ON SITE,NA,1
PORTLAND,REM01100,191 RIVERSIDE STREET,191 RIVERSIDE STREET,YES, VRAP ,1995-04-06,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01101,ABF FREIGHT SYSTEMS,328-372 RIVERSIDE INDUST,NO, VRAP ,1999-06-16,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01102,BAYSIDE HOUSING(STONE STREET),STONE STREET,NO, VRAP ,2020-01-20,INVESTIGATION STAGE NEED (AWAITING RESOURCES),NA,1
PORTLAND,REM01103,CARR BROS. SITE,211-215 COMMERCIAL STR,NO, VRAP ,1994-08-11,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01104,CENTER STREET PARKING LOT,45-71 CENTER ST.,NO, VRAP ,1996-02-29,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01105,CHRISTY'S #301,704 CONGRESS STREET,YES, VRAP ,1999-02-03,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01106,CHRISTY'S #310,170 BRIGHTON AVENUE,NO, VRAP ,1998-10-23,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01107,CHRISTY'S-FOREST AVENUE,1917 FOREST AVENUE,NO, VRAP ,1950-01-01,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01108,CLAY DOCKS(PTC),COMMERCIAL STREET,YES, VRAP ,2019-10-04,REMEDIATION STAGE NEED (AWAITING RESOURCES),NA,1
PORTLAND,REM01109,COACHWORKS INC.,DANFORTH/COMMERCIAL S,YES, VRAP ,1995-03-02,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01110,DURASTONE,66 MILLIKEN STREET,YES, VRAP ,2000-05-03,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01111,ECONOLODGE,1 RIVERSIDE STREET,NO, VRAP ,1994-06-29,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01112,FAMILY WORKSHOP INC.,207-217 CONGRESS ST.,NO, VRAP ,1995-12-02,REMEDY IN PLACE: CLOSED NO (OR DE-MINIMIS) CONTAMINATION LEFT ON SITE,NA,1
PORTLAND,REM01113,FORMER HOLDEN COMPANY,75 BISHOP STREET,YES, VRAP ,1994-08-12,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01114,H.P. HOOD FACILITY,349 PARK AVENUE,YES, VRAP ,1995-09-05,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01115,HARCON CORPORATION,110 ANDERSON ST.,YES, VRAP ,2008-06-25,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01116,I-295 CONNECTOR,I-295 CONNECTOR,YES, VRAP ,2005-12-15,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01117,JORDAN FOODS INC,38 INDIA STREET,YES, VRAP ,2011-06-14,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01118,LINER TERMINAL,40 COMMERCIAL STREET,YES, VRAP ,2016-06-06,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01119,LONGFELLOW SQUARE BUILDING,181-183 STATE STREET,YES, VRAP ,1998-06-17,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01120,MAINE TANK COMPANY,161-179 PRESUMPSCOT ST,YES, VRAP ,2001-12-19,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01121,MARINO PROPERTY,144 FORE STREET,YES, VRAP ,1999-09-24,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01122,MOBIL (BRIGHTON AVE.),1200 BRIGHTON AVENUE,YES, VRAP ,2004-02-06,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01123,MOODY PROPERTY,108 ST. JOHN STREET,YES, VRAP ,1999-04-29,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01124,MUTUAL OIL CO.,205 BRIGHTON AVENUE,YES, VRAP ,1994-06-01,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01127,PLUMBERS & PIPEFITTERS,2 EVERGREEN DR.,YES, VRAP ,1998-08-06,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01128,PORTLAND PUBLIC MARKET,25 PREBLE STREET,YES, VRAP ,1999-01-13,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01129,PORTLAND TERMINAL CO.,COMMERCIAL STREET,YES, VRAP ,1997-11-21,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01130,PROP HOUSING,GRANT & MELLEN STREET,NO, VRAP ,2021-01-28,INVESTIGATION STAGE NEED (AWAITING RESOURCES),NA,1
PORTLAND,REM01132,ROAK'S GREENHOUSE,963R WASHINGTON AVENU,YES, VRAP ,2001-06-25,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01133,SAMPSON'S,930 BRIGHTON AVENUE,YES, VRAP ,1999-06-21,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01134,SEROCO,315 CUMBERLAND/46 ELM,YES, VRAP ,1999-01-13,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01135,TALMA INC.,401 RIVERSIDE STREET,YES, VRAP ,2001-12-05,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01136,U-HAUL MOVING CENTER,411 MARGINAL WAY,YES, VRAP ,2001-06-25,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01137,WEBBER-KENSINGTON,93 KENSINGTON AVENUE,YES, VRAP ,2000-01-19,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01139,WHOLE GROCER,118 CONGRESS STREET,NO, VRAP ,1998-08-28,REMEDY IN PLACE: CLOSED NO (OR DE-MINIMIS) CONTAMINATION LEFT ON SITE,NA,1
PORTLAND,REM01140,XPEDX,1 RICE STREET,YES, VRAP ,2001-06-04,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01141,PEAKS ISLAND MGP,ISLAND AVE & CITY PNT RD,YES, VRAP ,2002-03-26,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PRESQUE ISLE,REM01143,AROOSTOOK RR CO. ENGINE HOUSE,25 DYER STREET,YES, VRAP ,1998-12-21,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
PRESQUE ISLE,REM01144,FORMER SEARS,320 MAIN STREET,YES, VRAP ,1997-04-11,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
PRESQUE ISLE,REM01145,IFL NUTRITE,825 NORTH MAIN STREET,NO, VRAP ,1998-10-30,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
PRESQUE ISLE,REM01146,LOVLEY & DOHERTY,800 NORTH MAIN ST,YES, VRAP ,2016-03-22,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
PRESQUE ISLE,REM01147,MITCHELL TRUCKING COMPANY,DAVIS & CARMICHAEL ST.,YES, VRAP ,2015-03-11,REMEDY IN PLACE: CLOSED NO (OR DE-MINIMIS) CONTAMINATION LEFT ON SITE,1,1
PRESQUE ISLE,REM01148,THOMAS EQUIPMENT LTD.,794 NORTH MAIN STREET,NO, VRAP ,2016-03-22,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
PRESQUE ISLE,REM01149,NORTHEASTLAND HOTEL,436 MAIN STREET,NO, VRAP ,2003-05-14,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
ROCKLAND,REM01150,51 PARK STREET,51 PARK STREET,NO, VRAP ,2019-10-04,REMEDIATION STAGE NEED (AWAITING RESOURCES),NA,1
ROCKLAND,REM01151,FISHER PLOW,WATER & OCEAN STREETS,NO, VRAP ,2007-03-01,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
ROCKLAND,REM01152,LIME STREET SITE,CORNER OF LIME ST. & TIL,YES, VRAP ,2007-12-10,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
ROCKLAND,REM01154,SPROUL'S DRY CLEANING,58 PARK STREET,YES, VRAP ,2018-11-09,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
ROCKPORT,REM01155,COVE SIDE CONVENIENCE,849 COMMERCIAL STREET,YES, VRAP ,1999-12-13,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SACO,REM01157,BINETTE PROPERTY,103 NORTH STREET,NO, VRAP ,1995-08-18,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SACO,REM01158,GERMAN AUTO SERVICES,201 NORTH STREET,NO, VRAP ,1999-03-02,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SACO,REM01159,OLD BRICKYARD,195 NORTH STREET,NO, VRAP ,1998-05-12,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SACO,REM01160,SACO ISLAND RAILROAD STATION,ROUTE 1,YES, VRAP ,2010-09-21,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SACO,REM01161,SUN LUMBER,75 SPRING HILL RD 115 IND,YES, VRAP ,2016-11-22,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SANFORD,REM01162,CENTRAL TIRE,477 MAIN STREET,YES, VRAP ,2000-01-25,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SANFORD,REM01163,GOODALL MILL,CORNER OF SPRUCE & HIG,YES, UNCONTROLLED SITES ,2021-01-27,INVESTIGATION STAGE ONGOING,NA,1
SANFORD,REM01164,SPRINGVALE SQUARE,177 MAIN STREET,YES, VRAP ,2019-10-04,REMEDIATION STAGE NEED (AWAITING RESOURCES),NA,1
SCARBOROUGH,REM01165,12 RUNWAY ROAD,12 RUNWAY ROAD,YES, VRAP ,1994-04-15,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SCARBOROUGH,REM01166,HIGGINS PROPERTY,74 SCOTTOW HILL ROAD,NO, VRAP ,1998-07-10,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SCARBOROUGH,REM01167,MAIETTA INDUSTRIAL PARK,PLEASANT HILL ROAD,YES, VRAP ,1994-12-28,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SCARBOROUGH,REM01168,MUSSEY ROAD QUARRY,MUSSEY ROAD,NO, VRAP ,1999-11-17,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SEARSPORT,REM01170,GENERAL ALUM & CHEMICAL CORP.,KIDDER POINT ROAD,YES, VRAP ,1996-01-12,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
SKOWHEGAN,REM01171,D.W. SMALL/IRVING OIL,109 WATERVILLE ROAD (R,YES, VRAP ,1999-03-19,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
SKOWHEGAN,REM01172,DEXTER SHOE,ISLAND AVENUE,YES, VRAP ,1950-01-01,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
SKOWHEGAN,REM01173,SKOWHEGAN VILLAGE PLAZA,LAKEWOOD ROAD,YES, VRAP ,2000-11-02,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
SOUTH BRISTOL,REM01174,BATES PROPERTY,309 STATE ROUTE 129,NO, UNCONTROLLED SITES ,2012-05-25,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PARIS,REM01175,GENDRON OIL,6 CHARLES STREET,YES, VRAP ,1999-01-20,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SOUTH PORTLAND,REM01176,279 MAIN STREET,279 MAIN STREET,YES, VRAP ,1996-02-22,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SOUTH PORTLAND,REM01177,A & M TRANSMISSION,85 CHAMBERS AVENUE,YES, VRAP ,2002-06-03,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SOUTH PORTLAND,REM01178,BOBS BOTTLE WASH,51 OCEAN STREET,YES, VRAP ,2000-12-29,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SOUTH PORTLAND,REM01179,BROADWAY INDUSTRIES,2066 WEST BROADWAY,NO, VRAP ,1998-03-30,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SOUTH PORTLAND,REM01180,C & D SORTING,110 DARTMOUTH STREET,YES, VRAP ,1998-02-12,REMEDY IN PLACE: CLOSED NO (OR DE-MINIMIS) CONTAMINATION LEFT ON SITE,NA,1
SOUTH PORTLAND,REM01181,CAPT. EDWARD NICHOLS HOUSE,MADISON ST. AND CUSHIN,YES, VRAP ,1999-09-20,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SOUTH PORTLAND,REM01182,COLONIAL DRY CLEANERS,448 COTTAGE ROAD,YES, UNCONTROLLED SITES ,2024-12-02,REMEDY IN PLACE: CLOSED NO (OR DE-MINIMIS) CONTAMINATION LEFT ON SITE,NA,1
SOUTH PORTLAND,REM01183,OCEAN ST. EXXON,96 OCEAN STREET,YES, VRAP ,1999-08-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SOUTH PORTLAND,REM01184,ROCKWOOD SYSTEMS,80 SECOND STREET,YES, VRAP ,2014-10-06,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SOUTH PORTLAND,REM01185,U-HAUL,633 BROADWAY STREET,YES, VRAP ,2000-02-08,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SOUTH PORTLAND,REM01186,UNION OIL CO.,116 DARTMOUTH STREET,NO, VRAP ,1999-07-09,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SOUTH THOMASTON,REM01188,NORTON PROPERTY,ROUTE 73,NO, VRAP ,2007-04-27,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SOUTHWEST HARBOR,REM01189,TALARIA CO.,SHORE ROAD,YES, VRAP ,1999-03-12,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
STONINGTON,REM01190,FLETCHER GRANITE,SUNSET AVENUE,YES, VRAP ,2001-07-09,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BIG SIX TWP,REM01191,ST. AURELIE STATION,MAINE/QUEBEC BORDER,NO, VRAP ,2000-02-16,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
